id,name,photo_link,price_rating,opening_hours,rating,votes_count,address_id
7,"Octo Tower","https://i.postimg.cc/pr969fvS/octo-tower.jpg",4,"Mo-Su 09:00-21:00",5.0,500,7
8,"Foundation Coffee Roasters","https://i.postimg.cc/PxJ6cWPB/foundation-coffee-roasters.jpg",4,"Mo-Su 08:00-22:00",5.0,300,8
9,"Daily","https://i.postimg.cc/ZqcgXYjj/Daily.jpg",3,"Mo-Su 08:00-21:00",5.0,250,9
10,"Lou Lou","https://i.postimg.cc/0j3hZtnf/Lou-lou.jpg",4,"Mo-Su 09:00-23:00",5.0,180,10
11,"Chorna Kishka","https://i.postimg.cc/SxbvsYvK/chorna-kishka.jpg",3,"Mo-Su 08:30-22:00",5.0,150,11
12,"Pan Zavar'kin ta Syn","https://i.postimg.cc/yNVph4BK/pan-zavarkin.jpg",3,"Mo-Su 09:00-21:00",5.0,400,12
13,"Lviv Croissants","https://i.postimg.cc/TPGFk5VH/lviv-croissants-vinnytsia.jpg",2,"Mo-Su 08:00-21:00",4.0,60,13
14,"DoubleDecker Cake & Coffee","https://i.postimg.cc/xd2DW42x/doubledecker.jpg",4,"Mo-Su 08:00-22:00",5.0,700,14
15,"White Coffeebar","https://i.postimg.cc/5NYhjV9T/white-coffee-bar.jpg",3,"Mo-Su 08:00-20:00",5.0,220,15
16,"Holy Bun","https://i.postimg.cc/gJgCLcZb/holy-bun.jpg",3,"Mo-Su 09:00-21:00",5.0,190,16
